,name,url
0,Гарри Поттер,https://online.hse.ru/python-as-foreign/1/1.html
1,Джинни Уизли,https://online.hse.ru/python-as-foreign/1/2.html
2,Лили Поттер,https://online.hse.ru/python-as-foreign/1/3.html
3,Гермиона Грейнджер,https://online.hse.ru/python-as-foreign/1/4.html
4,Сириус Блэк,https://online.hse.ru/python-as-foreign/1/5.html
5,Рубеус Хагрид,https://online.hse.ru/python-as-foreign/1/6.html
6,Рон Уизли,https://online.hse.ru/python-as-foreign/1/7.html
7,Астория Гринграсс,https://online.hse.ru/python-as-foreign/1/8.html
8,Люциус Малфой,https://online.hse.ru/python-as-foreign/1/9.html
9,Драко Малфой,https://online.hse.ru/python-as-foreign/1/10.html
10,Беллатриса Лестрейндж,https://online.hse.ru/python-as-foreign/1/11.html
11,Гарри Поттер вики,https://online.hse.ru/python-as-foreign/1/https://harrypotter.fandom.com
