,Цифр. код,Букв. код,Единиц,Валюта,Курс
0,36,AUD,1,Австралийский доллар,406613
1,944,AZN,1,Азербайджанский манат,357365
2,51,AMD,100,Армянских драмов,153445
3,933,BYN,1,Белорусский рубль,251000
4,975,BGN,1,Болгарский лев,322275
5,986,BRL,1,Бразильский реал,113545
6,348,HUF,100,Венгерских форинтов,155444
7,410,KRW,1000,Вон Республики Корея,453305
8,344,HKD,10,Гонконгских долларов,778672
9,208,DKK,10,Датских крон,847580
10,840,USD,1,Доллар США,607520
11,978,EUR,1,Евро,633008
12,356,INR,100,Индийских рупий,742933
13,398,KZT,100,Казахстанских тенге,130543
14,124,CAD,1,Канадский доллар,454153
15,417,KGS,100,Киргизских сомов,719518
16,156,CNY,10,Китайских юаней,841256
17,498,MDL,10,Молдавских леев,313505
18,934,TMT,1,Новый туркменский манат,173577
19,578,NOK,10,Норвежских крон,613211
20,985,PLN,1,Польский злотый,135647
21,946,RON,1,Румынский лей,129141
22,960,XDR,1,СДР (специальные права заимствования),795159
23,702,SGD,1,Сингапурский доллар,441127
24,972,TJS,10,Таджикских сомони,595024
25,949,TRY,10,Турецких лир,326205
26,860,UZS,10000,Узбекских сумов,540205
27,980,UAH,10,Украинских гривен,164487
28,826,GBP,1,Фунт стерлингов Соединенного королевства,734795
29,203,CZK,10,Чешских крон,258662
30,752,SEK,10,Шведских крон,583195
31,756,CHF,1,Швейцарский франк,644447
32,710,ZAR,10,Южноафриканских рэндов,354978
33,392,JPY,100,Японских иен,436876
