,Заголовок статьи,Ссылка,Текст
12.12.2022,"Метан – недолговечный, но коварный",https://www.vedomosti.ru/ecology/climate/articles/2022/12/12/954783-metan-nedolgovechnii-no-kovarnii,"Российские нефтегазовые компании активно участвуют в соответствующих программах, задействовав при этом самые современные технологии, включая беспилотники, лазерные и низкотемпературные инфракрасные датчики. Второй после CO2 Метан является мощным парниковым газом, вторым по значимости после углекислого газа. Согласно данным Межправительственной группы экспертов по изменению климата (МГЭИК), он ответственен более чем за 25% потепления, с которым человечество сегодня сталкивается. По оценке НИИ проблем экологии, около 60% выбросов метана носят антропогенный характер, а следовательно, управляемы. Основные источники естественных выбросов — заболоченные территории (60% естественных выбросов), водные объекты (озера, реки, моря и океаны), пожары, ферментация корма в желудках диких жвачных животных и насекомых, оттаивающая многолетняя мерзлота, метангидраты, некоторые другие глубинные геологические источники. С учетом промышленности эмиссия метана оценивается в 540-568 Мт в год. Метан недолговечен: по оценкам МГЭИК, его время жизни в атмосфере составляет 10-12 лет (углекислого газа — более 100 лет). Всего метана в атмосфере около 5 трлн т, из них ежегодно в результате химических реакций расщепляется около 550 Мт. В итоге средний ежегодный прирост метана в атмосфере оценивается в 0,2% от его общей массы — около 10 Мт. По сравнению с углекислым газом метан обладает гораздо большим потенциалом улавливания тепла. Воздействие метана на глобальное потепление, по оценке Международного энергетического агентства (МЭА), в 25 раз выше, чем у CO2. Метан также оказывает негативное влияние на качество воздуха, участвуя в формировании приземного озона, его концентрация в атмосфере выросла за последние два столетия более чем вдвое в результате деятельности человека. Виноваты в этом растущее сельское хозяйство (как растениеводство, так и разведение крупного рогатого скота), добыча угля, добыча и распределение нефти и газа, а также захоронение бытовых отходов. Иными словами, метан наносит климату больший ущерб, но имеет более короткий срок жизни по сравнению с углекислым газом, который улавливает меньшее количество тепла, но делает это постепенно, десятилетие за десятилетием. При этом ключевую роль в борьбе с глобальным потеплением специалисты отводят сокращению выбросов именно метана, поскольку антропогенный вклад человека в его эмиссию может контролироваться с помощью национальных и международных соглашений и ограничений. Нефтегазовый след Относительно короткое время жизни метана в атмосфере означает, что целевые стратегии по сокращению его выбросов могут помочь в реализации многих целей в области устойчивого развития и принести пользу для климата в течение ближайших десятилетий. Согласно данным Коалиции за климат и чистый воздух (CCAC), созданной Программой ООН по окружающей среде (ЮНЕП), на долю сельского хозяйства приходится примерно 40% антропогенных выбросов метана, ископаемое топливо является вторым по величине источником, на который приходится примерно 36% эмиссии. Выбросы метана в нефтегазовой отрасли возникают по всей производственной цепочке от добычи до распределения. Данные МГЭИК представлены на диаграмме. Именно нефтегазовая промышленность — тот сектор экономики, в котором большая часть выбросов может быть сокращена экономически эффективными способами с помощью существующих технологий. Кроме того, у предприятий существует множество стимулов, чтобы внести свой вклад в борьбу с глобальным потеплением: производственные утечки метана являются не только нежелательными и снижающими эффективность бизнеса (например, при добыче газа), но и потенциальными источниками ущерба для репутации. Контроль прохождения метана по всей производственной цепочке позволит предотвратить до 75% выбросов, причем устранение как минимум трети его потерь окупится, считают специалисты МЭА. Спутнииковый мониторинг, использование дронов и камер наблюдения помогают бороться с вредными утечками метана по всему миру. Спутники и раньше обнаруживали большие шлейфы метана, но до недавнего времени полученные изображения были не более чем нечетким пятном выбросов на обширной территории. Прорыв произошел в 2017 г., когда Европейское космическое агентство запустило спутник Sentinel-5 Precursor, позволивший получать более точные изображения глобальных утечек. Технологии и проекты по обнаружению выбросов метана продолжают развиваться: в ноябре на международной конференции по климату СОР27 в Шарм-эль-Шейхе ООН объявила о запуске общедоступной базы данных глобальных утечек, которые фиксируются спутниками. Задача системы, получивший название MARS, — сообщать о собранных данных компаниям и правительствам, а также другим заинтересованным сторонам для ускоренного принятия мер. Чтобы удержать рост глобальной температуры на уровне 1,5 °C, крайне важно бороться с выбросами метана. Они часто достигают пика в определенных областях в течение ограниченного периода времени, например в энергетическом секторе из-за утечек, сброса и сжигания в факелах. Раннее обнаружение этих пиков позволит быстрее реагировать на них. Российский вклад На территории России на сегодняшний день действует около полутора десятков пунктов, на которых регулярно проводятся измерения содержания метана в околоземных слоях атмосферы. Помимо стационарных пунктов, в 1995-2010 гг. для измерений использовалась передвижная лаборатория TROICA Института физики атмосферы РАН, было произведено 14 экспериментов, охвтивших практически всю страну от Москвы до Дальнего Востока. Периодически мониторинг содержания метана в атмосфере осуществляется над Западной Сибирью (самолетные измерения), в акватории моря Лаптевых и на прилегающей территории (наблюдения с судов и вертолетов). В российской Арктике размещено около полутора десятков метеостанций, в круг исследований которых входит и мониторинг атмосферного метана. Оценки выбросов могут отличаться из-за различий в методологиях расчета, но все они сходятся в том, что динамику выбросов метана в России определяет именно нефтегазовая отрасль. Согласно подсчетам Росгидромета, выбросы метана от операций с нефтью и газом, начиная с 2000 г., стабильно составляют около 40% от его общей промышленной эмиссии. Россия на национальном и корпоративном уровнях участвует в добровольных международных инициативах по сокращению выбросов метана. В 2004 г. страна присоединилась к Глобальной инициативе по метану (GMI), а в 2014 г. вступила в CCAC. Крупнейшие российские нефтегазовые компании в экологических отчетах публикуют данные о выбросах метана и стремятся к их сокращению. В 2019 г. крупнейшая нефтегазовая компания России «Роснефть» подписала «Руководящие принципы по снижению выбросов метана в производственно-сбытовой цепочке природного газа». Эта международная инициатива предусматривает последовательное снижение выбросов метана, улучшение показателей в части управления его выбросами в производственно-сбытовой цепочке, повышение точности данных о выбросах, продвижение рациональной политики и нормативно-правового регулирования выбросов метана, а также повышение прозрачности отчетности. На добывающих предприятиях «Роснефти» в рамках стратегии «Роснефть-2030» реализуется комплексная программа по обнаружению и устранению неорганизованных источников эмиссии парниковых газов, в том числе метана. Одна из среднесрочных климатических целей компании — снижение интенсивности выбросов метана до значения менее 0,2% к 2030 г. Долгосрочная стратегическая цель «Роснефти» — достичь углеродной нейтральности по охватам Scope 1 (прямые выбросы) и Scope 2 (косвенные выбросы) к 2050 г. Идентифицировать и локализовать источники эмиссии метана позволяет сочетание наземного мониторинга с исследованием источников при помощи беспилотников. Исследования проводились дважды в год, всего было обследовано более 500 объектов на производственных площадках суммарной площадью свыше 123 кв. км, а также около 4800 км газопроводов. В «Роснефти» считают, что мониторинг помимо контроля эмиссии метана позволил дополнительно повысить уровень целостности нефтегазотранспортной инфраструктуры и объектов подготовки углеводородов с точки зрения промышленной безопасности. Что касается наземного мониторинга, на производственных площадках 20 предприятий было обследовано более 280 объектов. Применение всей линейки передовых технологических решений для обнаружения утечек метана дает возможность определить источник и его причину, выработать комплекс мер по устранению и ликвидировать даже незначительные отклонения от строгих стандартов эксплуатации нефтегазовых месторождений. В этом году компания расширила географию применения БПЛА, а также практику наземных обследований с использованием передовых систем обнаружения утечек метана и других легких органических соединений. Если в 2019 г. пилотные исследования проводились в трех добывающих обществах, то в 2022 г. они были масштабированы на 20 предприятий, в 2023 г. ими будет охвачена вся нефтегазодобыча «Роснефти». Для обследования добывающей инфраструктуры используются лазерные и ультразвуковые детекторы, причем лазерные способны определять наличие метана в атмосфере, а ультразвуковые — находить утечки газа под давлением. Мультиспектральные инфракрасные камеры оптической визуализации газов используют криотехнологии: детекторы этих камер охлаждаются до 180-210 °C, это позволяет существенно снизить количество помех и с высокой точностью визуализировать наличие метана. Для повышения эффективности работы по достижению целей сокращения углеродного следа специалистами «Роснефти» разработаны учитывающая международные стандарты методика количественной оценки объема эмиссии метана от утечек на объектах добычи углеводородов и типовая программа мероприятий по обнаружению неорганизованных источников эмиссии. Последние несколько лет стали самыми теплыми на Земле за всю историю наблюдений. Деятельность «Роснефти» по мониторингу и снижению выбросов метана полностью соответствует цели устойчивого развития ООН № 13 «Принятие срочных мер по борьбе с изменением климата и его последствиями». Ее достижение возможно только при высоком уровне сотрудничества правительств, общественных организаций и бизнеса.-"
12.12.2022,Климатические изменения и устойчивое развитие,https://www.vedomosti.ru/ecology/climate/columns/2022/12/12/954773-klimaticheskie-izmeneniya-i-ustoichivoe-razvitie,"Современные климатические изменения представляют глобальную проблему, для решения которой требуется готовность ведущих стран мира к взаимным уступкам и созданию благоприятных политических условий для согласованной совместной работы В настоящее время проблема климатических изменений находится в сфере пристального внимания не только ученых-экологов, но и широкой общественности — политиков, журналистов и даже рядовых граждан. Борьба с глобальным потеплением и сопряженный с этим спектр серьезных климатических вопросов постоянно присутствуют в повестке дня всех мировых саммитов, деловых форумов и являются неотъемлемой частью корпоративной повестки большинства крупных компаний. Современное климатологическое сообщество практически единодушно придерживается точки зрения, согласно которой в настоящее время климатические изменения происходят с быстротой, беспрецедентной для предшествующего периода продолжительностью по крайней мере в миллион лет. Важнейшим для этого процесса фактором служит чрезмерное антропогенное воздействие на климатическую систему, прежде всего выбросы парниковых газов в атмосферу. Продолжение такого воздействия может привести к катастрофическим для человека последствиям. На сегодняшний день мировая общественность уже пришла к пониманию того факта, что текущие климатические изменения тесно сопряжены с экономическими, социальными и политическими проблемами глобального масштаба: ухудшение экологии влечет за собой радикальные перемены в географических условиях хозяйствования (прежде всего для агропромышленного комплекса) и доступности источников пресной воды, что не может не сказаться на темпах экономического развития, сдвигах в структуре реального сектора экономики, размещении производства, а значит, и к социальным сдвигам в тех регионах, которых это коснется в существенной мере, в том числе к формированию новых миграционных потоков, численность которых может достичь многомиллионных значений. Эти факторы весьма важны для таких глобальных проблем, как демографическая, борьба с бедностью и нищетой и проч. Все это чревато дальнейшим обострением экономических войн, ростом социальной напряженности (как в странах-донорах, так и в странах-реципиентах), формированием очагов новых военных конфликтов со всеми вытекающими отсюда угрозами, в том числе и глобальными. Несмотря на превалирующее единство мнений о необходимости предотвращения климатических угроз, проблема восприятия экологической повестки стоит по-прежнему крайне остро, прежде всего потому, что политики и климатологи очень по-разному оценивают и возможности по борьбе с изменениями климата, и требующиеся для этого затраты. Между странами идет своего рода конкурентная борьба: как максимально выгодно переложить заботы о спасении человечества от климатической угрозы на другие страны и, более того, воспользоваться этой ситуацией для получения каких-то преимуществ для себя. Этот фактор оказался сильнейшим препятствием для принятия необходимых мер, чтобы серьезно продвинуться к решению проблемы климатических изменений. Политические, геополитические и экономические интересы мешают странам выработать единую стратегию и следовать ей. Проблема, как отмечают едва ли не все, кто ею занимается, оказалась предельно политизированной, в результате научные аспекты постоянно отодвигаются на второй план, искажения научных данных и их неверная трактовка, всевозможные домыслы по поводу климатических изменений и поразительная неграмотность освещения проблематики в большинстве средств массовой информации стали неизбежными спутниками едва ли не каждого обращения к ней. Между тем проблема климатических изменений глобальная, ее решение возможно только на строгой научной основе, а ее политизация, может быть, главное препятствие для этого. Важно помнить, что все народы мира внесли и продолжают вносить свой вклад (пусть даже в отдельных случаях не слишком значительный) в рост концентрации парниковых газов в атмосфере, в уничтожение и антропогенную трансформацию естественных экосистем (лесов, степей, лугов). Кроме того, изменения глобального климата и индуцируемые ими процессы перестройки биосферы — одна из самых серьезных угроз благополучию и «развитию всех и каждого», существованию всей современной цивилизации. Для решения климатической проблемы требуются усилия всего человечества. Это не преувеличение: даже если бы какая-то группа стран обладала такой экономической мощью, которая позволяла бы в принципе нормализовать общее антропогенное воздействие на климатическую систему и стабилизировать ее в приемлемом квазиравновесном состоянии, то отмеченные выше политические факторы стали бы причиной для вовлечения всех остальных стран в этот процесс и никто не смог бы остаться в стороне, даже если бы хотел. Общепринятое понимание устойчивого развития общества, восходящее к докладу «Наше общее будущее» Международной комиссии по окружающей среде и развитию (ООН, 1987), базируется на принципе: следует так удовлетворять потребности нынешнего поколения, чтобы это не ставило под угрозу обеспечение жизнедеятельности будущих поколений. К сожалению, на современном этапе развитие цивилизации не является устойчивым уже потому, что «потребности нынешнего поколения» нельзя признать удовлетворенными для значительной части человечества: по данным ООН, около 700 млн человек живут в нищете, более 1 млрд не имеют удовлетворительного доступа к питьевой воде, более 2 млрд обитают в условиях антисанитарии и т. п. В экологическом аспекте современное человечество не только не заботится о благосостоянии будущих поколений, но, более того, живет за их счет: невосполнимый урон, который сегодня наносится биосфере, ставит под угрозу способность будущих поколений удовлетворять свои собственные потребности. А если иметь в виду самые неблагоприятные сценарии предстоящих климатических изменений, то угроза нависает и над самим существованием этих поколений. Таким образом, переход цивилизации к устойчивому развитию, трактуемому в духе «нашего общего будущего», оказывается невозможным без решения глобальной климатической проблемы, причем это решение должно быть таким, чтобы не поставить под угрозу способность будущих поколений удовлетворять свои собственные потребности. Сама принципиальная возможность для цивилизации решить климатическую проблему представляется небесспорной, тем более сомнительно, что решение может быть реализовано в условиях удовлетворения потребностей нынешнего поколения без серьезных потерь для будущих поколений, если понимать их потребности в системе представлений современной экономики благосостояния. Арсенал средств, которые при этом могут быть применены, постепенно расширяется. Последними находками были предусмотренные Киотским протоколом торговля разрешениями на выбросы парниковых газов, «Проекты совместного осуществления» (проекты по сокращению выбросов парниковых газов, эта идея пока не получила должного развития) и «Механизм чистого развития» (предусматривает генерацию сертифицированных единиц сокращения выбросов). В конечном счете возможности регулирования определяются, во-первых, способностью нынешнего поколения ограничивать рост своего благосостояния и повышения качества жизни ради будущих поколений и, во-вторых, готовностью ведущих стран мира к взаимным уступкам для обеспечения координации усилий не только в решении глобальной климатической проблемы самой по себе, но и в создании благоприятных политических условий для согласованной совместной работы.-"
12.12.2022,Добывающей отрасли прогнозируют диверсификацию,https://www.vedomosti.ru/ecology/science_and_technology/articles/2022/12/12/954778-dobivayuschei-otrasli-prognoziruyut-diversifikatsiyu,"В условиях макроэкономической нестабильности и усиливающегося санкционного давления Россия должна взять курс на сырьевой суверенитет и диверсификацию добывающей отрасли, наращивая технологические цепочки (с созданием продуктов конечного потребления) и развивая научно-техническое сотрудничество с дружественными странами. Такую точку зрения высказали участники международного форума «Природопользование и сохранение всемирного природного наследия», прошедшего в Санкт-Петербургском горном университете. «В настоящее время все человечество переживает непростой период. На наших глазах происходит много изменений, в том числе в сырьевом секторе. Но я бы хотел отметить важные, на мой взгляд, цифры: более 50% всей международной торговли приходится на сырьевые ресурсы. Из них более 80% — это углеводороды. Все это говорит о высокой значимости этого ресурса для развития цивилизации», — отметил в выступлении ректор университета Владимир Литвиненко. Несмотря на общемировую тенденцию к сокращению использования углеводородов, спрос на традиционные энергоресурсы будет только увеличиваться, считает вице-министр нефти Ирана Азим Калантариасл. «Энергия формирует нашу жизнь и влияет на наше богатство, культуру и повседневную жизнь. Статистика говорит, что спрос на энергию в будущем будет только увеличиваться», — сказал представитель Ирана. По данным Международного энергетического агентства, нефть и газ продолжают оставаться основными источниками энергии в мире, обеспечивая более 50% спроса. Еще 36% составляет уголь, и его доля неуклонно увеличивается даже на фоне общемировой тенденции к ужесточению экологических требований. В ближайшие годы уголь останется ведущим ресурсом в балансах таких стран, как Китай и Индия, где его доля будет составлять 40-50%. По данным Goldman Sachs, огромные инвестиции в возобновляемую энергетику (ВИЭ), размер которых за последние семь лет превысил $2,6 трлн, существенно не повлияли на расклад сил на мировом энергетическом рынке — доля возобновляемых источников за этот же период выросла лишь на 3 п. п. В то же время вложения в ВИЭ стали причиной глобального недоинвестирования в традиционную энергетику, создав предпосылки к нестабильности и беспрецедентному дефициту энергоресурсов в среднесрочной перспективе. Важным фактором, определяющим уровень потребления энергии в мире, является энергоемкость. Для достижения целей ООН в области устойчивого развития потребуется внедрение большого количества инновационных технологий, которые потребляют целый спектр полезных ископаемых, причем в огромном количестве, отметил Литвиненко. Опережающий рост технологического сектора и повышение стандартов жизни человечества сохранит энергоемкость мирового ВВП на текущем уровне на ближайшую перспективу, обеспечив нефтегазовой отрасли стабильный рост спроса на уровне 1,5-2% в год вплоть до 2040 г. В балансе с природой и с опорой на технологии Развитие энергетического комплекса должно находиться в балансе с сохранением природного наследия, а уменьшения негативного воздействия важно достигать не за счет уменьшения добычи, а с помощью современных технологий. «Есть много проблем, связанных с производством энергии, особенно с добычей углеводородов, — считает Калантариасл. — Много трудностей вызывают вопросы экологии — загрязнение почвы, подземных вод и т. п. Мы также сталкиваемся с нехваткой воды во многих районах и с загрязнением воздуха в процессе добычи и переработки нефти. Поэтому один из ключевых вопросов на сегодняшний день — это минимизация воздействия на окружающую среду при разработке месторождений». По его словам, ключом к успеху в решении экологических проблем должны стать технологии. «Мы ищем передовые решения для переработки нефти и газа, развития нефтехимии. Ведем исследования новых материалов и методов для увеличения добычи углеводородов, ищем новые процессы и технологические подходы к переработке и снижению выбросов CO2 в атмосферу», — рассказал Калантариасл. Позицию иранского коллеги подержал министр экологии и природных ресурсов Татарстана Александр Шадриков. Он отметил, что объем сброса загрязненных вод при добыче нефти в республике снизился на 68% благодаря использованию оборотной воды на предприятиях. «В Иране мы разработали систему циркуляции сточных вод, чтобы не делать их новых заборов для нефтегазовой отрасли, кроме того, мы уделяем внимание очистке и восстановлению подземных вод и почв», — отметил Калантариасл. Научно-технологическое сотрудничество с Россией Первый пакет санкций против Ирана был введен 43 года назад. В ответ страна сделала ставку на развитие собственной научно-технической базы, отметил иранский чиновник. «Иран также заинтересован в поддержке исследований, которые производятся в российских компаниях и университетах», — сказал Калантариасл. Наращивать потенциал сотрудничества с Россией намерены и в Нигерии, рассказал ректор Адмиралтейского университета Нигерии Паул Омоджо Омаджи, добавив, что в настоящее время для государства приоритетом является развитие переработки нефти, а не только ее добычи (экономика страны зависит от нефти на 65%). «Мы также планируем начать добычу и переработку других видов сырья, включая редкоземельные металлы. Есть намерение развивать литиевую индустрию в сотрудничестве с Россией», — добавил он. Россия имеет значительные запасы лития (2,5 млн т), но промышленная добыча отсутствует, а сырье сейчас поступает из Боливии (поставки в Россию из Аргентины и Чили в настоящее время приостановлены). Российские технологии могут быть востребованы у дружественных стран, заявил «Ведомости. Экологии» замминистра промышленности, горного дела и торговли Ирана Хуман Хадиман. По его словам, государство планирует сотрудничество с Россией в части обмена технологиями для оптимизации затрат в нефтегазовой отрасли и добыче горных пород, но не уточнил, о каких конкретно технологиях идет речь. Ключевым поставщиком технологий в области ТЭКа может стать нефтяная компания «Роснефть». На сегодняшний день она обладает самой обширной научной базой в области ТЭКа, рассказал представитель компании. Корпоративный научный центр «Роснефти» является крупнейшим в Европе, объединяя 32 проектных и исследовательских института, а также 41 центр компетенций с общей численностью сотрудников более 15 000 человек. «Научный центр является базовым блоком для принятия научных и технических решений по всем производственным направлениям компании — от геологоразведочных работ до сбыта нефтепродуктов. За последние несколько лет объем работ, выполняемых собственными силами, увеличился более чем в 2 раза, а совокупный экономический эффект от деятельности научного центра превысил 150 млрд руб.», — подчеркнул представитель «Роснефти». Разработки научного центра востребованы и внешними потребителями: «Роснефть» успешно вывела на рынок уже несколько собственных разработок, говорит ее представитель. «Роснефть» — первая компания в России, которая успешно создает программное обеспечение, охватывающее все ключевые процессы нефтегазодобычи. Наши специалисты разработали уже 23 уникальных программных продукта. Лицензии на 10 из них успешно продаются», — сказал «Ведомостям» представитель «Роснефти». По его словам, на сегодняшний день реализовано более 600 лицензий нефтегазовым и нефтесервисным компаниям, а более 1800 академических лицензий «Роснефть» безвозмездно передала ведущим вузам страны для образовательных целей. Компания успешно развивает научно-техническое сотрудничество не только с ведущими вузами страны, но и с зарубежными научными площадками, отметил представитель компании. Так, недавно было подписано соглашение о сотрудничестве с китайским университетом Цинхуа (среди его выпускников -ведущие ученые и политические деятели Китая, в том числе председатель КНР Си Цзиньпин и его предшественник на этом посту Ху Цзиньтао), а также Азербайджанским государственным университетом нефти и промышленности. «Роснефть» успешно выступает амбассадором отечественной науки в сфере энергетики и на зарубежных площадках. В 2021 г. компания открыла Международный центр исследований и разработок в Катаре. Основным направлением деятельности этого научно-проектного института является разработка инновационных решений в области добычи, нефтепереработки и СПГ, производства конструкционных пластмасс, переработки газа, создания новых катализаторов, полимеров и масел. Бережное отношение к природным ресурсам — один из главных приоритетов компании. Ежегодно «Роснефть» инвестирует десятки миллиардов рублей в программы, нацеленные на минимизацию воздействия на окружающую среду. Общий объем инвестиций в 2018-2021 гг. превысил 200 млрд руб., отмечает представитель компании. Существенный объем инвестиций «Роснефти» идет на разработку зеленых технологий. Компания занимается исследованиями в таких направлениях, как улавливание углекислого газа, закачка в пласт, производство синтетической нефти с пониженным углеродным следом, производство экологически чистых полимеров и др. Все эти технологии в перспективе могут быть востребованы рынком, уверены в «Роснефти».-"
